Date,Price,Date2,Open,High,Low,Closed Price,Vol.,Change %,Absolute Value for Change,Volatility,Daily Volatility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/23/2025,"6,118.72",01/23/2025,"6,076.32","6,118.72","6,074.67","6,118.72",0.00K,0.53%,0.53%,44.05,0.72%,,Highest Price Ever," $6,118.72 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/22/2025,"6,086.37",01/22/2025,"6,081.39","6,100.81","6,076.13","6,086.37",,0.61%,0.61%,24.68,0.41%,,Lowest Price Ever," $4,844.05 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/21/2025,"6,049.24",01/21/2025,"6,014.12","6,051.51","6,006.88","6,049.24",,0.88%,0.88%,44.63,0.74%,,Standard Deviation,350.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/17/2025,"5,996.66",01/17/2025,"5,995.40","6,014.96","5,978.44","5,996.66",,1.00%,1.00%,36.52,0.61%,,Highest Price Movement,3.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results,,,,,,,,,,,,,,,
01/16/2025,"5,937.34",01/16/2025,"5,963.61","5,964.69","5,930.72","5,937.34",,-0.21%,0.21%,33.97,0.57%,,Lowest Price Movement,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/15/2025,"5,949.91",01/15/2025,"5,905.21","5,960.61","5,905.21","5,949.91",,1.83%,1.83%,55.40,0.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest vs Lowest Price,,,,Highest vs Lowest Price Movement (%),,,,Price Range Provisional,,,,Others,,,
01/14/2025,"5,842.91",01/14/2025,"5,859.27","5,871.92","5,805.42","5,842.91",0.00K,0.11%,0.11%,66.50,1.13%,,Average Daily Volatility,0.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest Price,,Lowest Price,,Highest Movement,,Lowest Movement,,Highest Price,,Lowest Price,,Standard Deviation,,Daily Volatility,
01/13/2025,"5,836.22",01/13/2025,"5,782.02","5,838.61","5,773.31","5,836.22",,0.16%,0.16%,65.30,1.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $6,118.72 ",," $4,844.05 ",,3.0%,,0.0%,," $6,819.80 ",," $4,142.97 ",,350.54,,0.91%,
01/10/2025,"5,827.04",01/10/2025,"5,890.35","5,890.35","5,807.78","5,827.04",,-1.54%,1.54%,82.57,1.40%,,Highest Price (Provisional)," $6,819.80 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2025,"5,918.25",01/08/2025,"5,910.66","5,927.89","5,874.78","5,918.25",,0.16%,0.16%,53.11,0.90%,,Lowest Price (Provisional)," $4,142.97 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2025,"5,909.03",01/07/2025,"5,993.26","6,000.68","5,890.68","5,909.03",,-1.11%,1.11%,110.00,1.84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2025,"5,975.38",01/06/2025,"5,982.81","6,021.04","5,960.01","5,975.38",,0.55%,0.55%,61.03,1.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2025,"5,942.47",01/03/2025,"5,891.07","5,949.34","5,888.66","5,942.47",,1.26%,1.26%,60.68,1.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2025,"5,868.55",01/02/2025,"5,903.26","5,935.09","5,829.53","5,868.55",,-0.22%,0.22%,105.56,1.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2024,"5,881.63",12/31/2024,"5,919.74","5,929.74","5,868.86","5,881.63",,-0.43%,0.43%,60.88,1.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/2024,"5,906.94",12/30/2024,"5,920.67","5,940.79","5,869.16","5,906.94",,-1.07%,1.07%,71.63,1.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/27/2024,"5,970.84",12/27/2024,"6,006.17","6,006.17","5,932.95","5,970.84",,-1.11%,1.11%,73.22,1.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26/2024,"6,037.59",12/26/2024,"6,024.97","6,049.75","6,007.37","6,037.59",,-0.04%,0.04%,42.38,0.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/24/2024,"6,040.04",12/24/2024,"5,984.63","6,040.10","5,981.44","6,040.04",,1.10%,1.10%,58.66,0.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/2024,"5,974.07",12/23/2024,"5,940.25","5,978.25","5,902.57","5,974.07",,0.73%,0.73%,75.68,1.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/20/2024,"5,930.85",12/20/2024,"5,842.00","5,982.06","5,832.30","5,930.85",,1.09%,1.09%,149.76,2.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/2024,"5,867.08",12/19/2024,"5,912.71","5,935.52","5,866.07","5,867.08",,-0.09%,0.09%,69.45,1.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/2024,"5,872.16",12/18/2024,"6,047.65","6,070.67","5,867.79","5,872.16",,-2.95%,2.95%,202.88,3.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2024,"6,050.61",12/17/2024,"6,052.55","6,057.68","6,035.19","6,050.61",,-0.39%,0.39%,22.49,0.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/2024,"6,074.08",12/16/2024,"6,063.79","6,085.19","6,059.14","6,074.08",,0.38%,0.38%,26.05,0.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/13/2024,"6,051.09",12/13/2024,"6,068.17","6,078.58","6,035.77","6,051.09",,0.00%,0.00%,42.81,0.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2024,"6,051.25",12/12/2024,"6,074.29","6,079.68","6,051.25","6,051.25",,-0.54%,0.54%,28.43,0.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2024,"6,084.19",12/11/2024,"6,060.15","6,092.59","6,060.15","6,084.19",,0.82%,0.82%,32.44,0.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/2024,"6,034.91",12/10/2024,"6,057.59","6,065.40","6,029.89","6,034.91",,-0.30%,0.30%,35.51,0.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2024,"6,052.85",12/09/2024,"6,083.01","6,088.51","6,048.63","6,052.85",,-0.61%,0.61%,39.88,0.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/06/2024,"6,090.27",12/06/2024,"6,081.38","6,099.97","6,079.98","6,090.27",,0.25%,0.25%,19.99,0.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2024,"6,075.11",12/05/2024,"6,089.03","6,094.55","6,072.90","6,075.11",,-0.19%,0.19%,21.65,0.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/04/2024,"6,086.49",12/04/2024,"6,069.39","6,089.84","6,061.06","6,086.49",,0.61%,0.61%,28.78,0.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2024,"6,049.88",12/03/2024,"6,042.97","6,052.07","6,033.39","6,049.88",,0.05%,0.05%,18.68,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2024,"6,047.15",12/02/2024,"6,040.11","6,053.58","6,035.33","6,047.15",,0.24%,0.24%,18.25,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2024,"6,032.38",11/29/2024,"6,003.98","6,044.17","6,003.98","6,032.38",,0.56%,0.56%,40.19,0.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2024,"5,998.74",11/27/2024,"6,014.11","6,020.16","5,984.87","5,998.74",,-0.38%,0.38%,35.29,0.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2024,"6,021.63",11/26/2024,"6,000.03","6,025.42","5,992.27","6,021.63",,0.57%,0.57%,33.15,0.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2024,"5,987.37",11/25/2024,"5,992.28","6,020.75","5,963.91","5,987.37",,0.30%,0.30%,56.84,0.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2024,"5,969.34",11/22/2024,"5,944.36","5,972.90","5,944.36","5,969.34",,0.35%,0.35%,28.54,0.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/2024,"5,948.71",11/21/2024,"5,940.58","5,963.32","5,887.26","5,948.71",,0.53%,0.53%,76.06,1.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/2024,"5,917.11",11/20/2024,"5,914.34","5,920.67","5,860.56","5,917.11",,0.00%,0.00%,60.11,1.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/2024,"5,916.98",11/19/2024,"5,870.05","5,923.51","5,855.29","5,916.98",,0.40%,0.40%,68.22,1.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2024,"5,893.62",11/18/2024,"5,874.17","5,908.12","5,865.95","5,893.62",,0.39%,0.39%,42.17,0.72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2024,"5,870.62",11/15/2024,"5,912.79","5,915.32","5,853.01","5,870.62",,-1.32%,1.32%,62.31,1.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2024,"5,949.17",11/14/2024,"5,989.68","5,993.88","5,942.28","5,949.17",,-0.60%,0.60%,51.60,0.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2024,"5,985.38",11/13/2024,"5,985.75","6,008.19","5,965.91","5,985.38",,0.02%,0.02%,42.28,0.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2024,"5,983.99",11/12/2024,"6,003.60","6,009.92","5,960.08","5,983.99",,-0.29%,0.29%,49.84,0.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2024,"6,001.35",11/11/2024,"6,008.86","6,017.31","5,986.69","6,001.35",,0.10%,0.10%,30.62,0.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/08/2024,"5,995.54",11/08/2024,"5,976.76","6,012.45","5,976.76","5,995.54",,0.38%,0.38%,35.69,0.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2024,"5,973.10",11/07/2024,"5,947.21","5,983.84","5,947.21","5,973.10",,0.74%,0.74%,36.63,0.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/06/2024,"5,929.04",11/06/2024,"5,864.89","5,936.14","5,864.89","5,929.04",,2.53%,2.53%,71.25,1.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/05/2024,"5,782.76",11/05/2024,"5,722.43","5,783.44","5,722.10","5,782.76",,1.23%,1.23%,61.34,1.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/04/2024,"5,712.69",11/04/2024,"5,725.15","5,741.43","5,696.51","5,712.69",,-0.28%,0.28%,44.92,0.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2024,"5,728.80",11/01/2024,"5,723.22","5,772.52","5,723.22","5,728.80",,0.41%,0.41%,49.30,0.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2024,"5,705.45",10/31/2024,"5,775.34","5,775.34","5,702.86","5,705.45",,-1.86%,1.86%,72.48,1.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/2024,"5,813.67",10/30/2024,"5,832.65","5,850.94","5,811.28","5,813.67",,-0.33%,0.33%,39.66,0.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2024,"5,832.92",10/29/2024,"5,819.68","5,847.19","5,802.17","5,832.92",,0.16%,0.16%,45.02,0.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/2024,"5,823.52",10/28/2024,"5,833.93","5,842.92","5,823.08","5,823.52",,0.27%,0.27%,19.84,0.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2024,"5,808.12",10/25/2024,"5,826.75","5,862.82","5,799.98","5,808.12",,-0.03%,0.03%,62.84,1.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2024,"5,809.86",10/24/2024,"5,817.80","5,817.80","5,784.92","5,809.86",,0.21%,0.21%,32.88,0.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2024,"5,797.42",10/23/2024,"5,834.50","5,834.85","5,762.41","5,797.42",,-0.92%,0.92%,72.44,1.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2024,"5,851.20",10/22/2024,"5,832.70","5,863.04","5,821.17","5,851.20",,-0.05%,0.05%,41.87,0.72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024,"5,853.98",10/21/2024,"5,857.82","5,866.92","5,824.79","5,853.98",,-0.18%,0.18%,42.13,0.72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2024,"5,864.67",10/18/2024,"5,859.43","5,872.17","5,846.11","5,864.67",,0.40%,0.40%,26.06,0.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2024,"5,841.47",10/17/2024,"5,875.62","5,878.46","5,840.25","5,841.47",,-0.02%,0.02%,38.21,0.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2024,"5,842.47",10/16/2024,"5,816.58","5,846.52","5,808.34","5,842.47",,0.47%,0.47%,38.18,0.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2024,"5,815.26",10/15/2024,"5,866.74","5,870.36","5,804.48","5,815.26",,-0.76%,0.76%,65.88,1.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2024,"5,859.85",10/14/2024,"5,829.81","5,871.41","5,829.57","5,859.85",,0.77%,0.77%,41.84,0.72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2024,"5,815.03",10/11/2024,"5,775.09","5,822.13","5,775.09","5,815.03",,0.61%,0.61%,47.04,0.81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2024,"5,780.05",10/10/2024,"5,778.36","5,795.03","5,764.76","5,780.05",,-0.21%,0.21%,30.27,0.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2024,"5,792.04",10/09/2024,"5,751.80","5,796.80","5,745.02","5,792.04",,0.71%,0.71%,51.78,0.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/08/2024,"5,751.13",10/08/2024,"5,719.14","5,757.60","5,714.56","5,751.13",,0.97%,0.97%,43.04,0.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2024,"5,695.94",10/07/2024,"5,737.80","5,739.34","5,686.85","5,695.94",,-0.96%,0.96%,52.49,0.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2024,"5,751.07",10/04/2024,"5,737.48","5,753.21","5,702.83","5,751.07",,0.90%,0.90%,50.38,0.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2024,"5,699.94",10/03/2024,"5,698.19","5,718.78","5,677.37","5,699.94",,-0.17%,0.17%,41.41,0.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2024,"5,709.54",10/02/2024,"5,698.14","5,719.63","5,674.00","5,709.54",,0.01%,0.01%,45.63,0.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2024,"5,708.75",10/01/2024,"5,757.73","5,757.73","5,681.28","5,708.75",,-0.93%,0.93%,76.45,1.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2024,"5,762.48",09/30/2024,"5,726.52","5,765.14","5,703.53","5,762.48",,0.42%,0.42%,61.61,1.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/27/2024,"5,738.17",09/27/2024,"5,755.36","5,763.78","5,727.34","5,738.17",,-0.13%,0.13%,36.44,0.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/26/2024,"5,745.37",09/26/2024,"5,762.22","5,767.37","5,721.01","5,745.37",,0.40%,0.40%,46.36,0.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
